오태양,NC,2023,0,21,3,3,4,0,0,0,0,0,0,0,0
양의지,두산,2023,0.305,129,510,439,56,134,23,0,17,208,68,0,3
홍성호,두산,2023,0.292,21,51,48,6,14,4,0,0,18,5,0,0
정수빈,두산,2023,0.287,137,583,498,75,143,14,11,2,185,33,12,2
김재호,두산,2023,0.283,91,302,247,32,70,13,0,3,92,29,15,2
양석환,두산,2023,0.281,140,582,524,73,147,28,0,21,238,89,0,11
허경민,두산,2023,0.268,130,475,429,44,115,23,1,7,161,48,0,5
박유연,두산,2023,0.267,10,16,15,3,4,2,0,0,6,1,1,0
강승호,두산,2023,0.265,127,459,419,51,111,18,6,7,162,59,4,3
김인태,두산,2023,0.255,47,115,98,8,25,5,0,1,33,14,1,0
로하스,두산,2023,0.253,122,464,403,52,102,24,4,19,191,65,0,3
이유찬,두산,2023,0.243,104,239,210,31,51,7,2,1,65,16,5,1
양찬열,두산,2023,0.239,44,99,88,15,21,2,2,0,27,6,0,1
전민재,두산,2023,0.235,19,18,17,3,4,2,0,0,6,1,1,0
송승환,두산,2023,0.229,30,76,70,10,16,3,1,0,21,4,2,0
박준영,두산,2023,0.228,51,138,127,16,29,8,2,4,53,17,0,0
서예일,두산,2023,0.222,5,10,9,2,2,0,0,0,2,1,0,1
김재환,두산,2023,0.22,132,484,405,40,89,15,0,10,134,46,0,2
조수행,두산,2023,0.219,126,249,219,41,48,2,1,1,55,17,4,1
박계범,두산,2023,0.219,78,194,169,18,37,6,0,2,49,15,5,3
김태근,두산,2023,0.212,41,55,52,9,11,3,0,0,14,3,2,0
박지훈,두산,2023,0.211,22,21,19,2,4,1,0,0,5,2,0,0
안승한,두산,2023,0.208,22,27,24,1,5,0,0,0,5,1,0,0
김대한,두산,2023,0.198,33,89,81,10,16,3,1,1,24,7,0,0
안재석,두산,2023,0.188,27,68,64,8,12,2,1,1,19,5,0,1
장승현,두산,2023,0.158,76,158,139,11,22,1,0,3,32,9,5,0
김민혁,두산,2023,0.138,21,36,29,2,4,1,0,0,5,3,0,2
신성현,두산,2023,0.083,12,15,12,1,1,0,0,0,1,1,0,0
권민석,두산,2023,0,1,2,2,0,0,0,0,0,0,0,0,0
나성범,KIA,2023,0.365,58,253,222,51,81,12,1,18,149,57,0,4
박정우,KIA,2023,0.333,21,12,9,2,3,0,0,0,3,0,3,0
김선빈,KIA,2023,0.32,119,473,419,41,134,16,0,0,150,48,8,3
김도영,KIA,2023,0.303,84,385,340,72,103,20,5,7,154,47,2,4
최형우,KIA,2023,0.302,121,508,431,64,130,27,1,17,210,81,0,4
이우성,KIA,2023,0.301,126,400,355,39,107,17,0,8,148,58,6,3
박찬호,KIA,2023,0.301,130,507,452,73,136,18,4,3,171,52,7,6
고종욱,KIA,2023,0.296,114,286,270,35,80,17,0,3,106,39,0,2
소크라테스,KIA,2023,0.285,142,608,547,91,156,31,3,20,253,96,0,8
이창진,KIA,2023,0.27,104,284,244,35,66,11,3,4,95,29,2,2
김태군,KIA,2023,0.257,114,346,311,24,80,10,1,1,95,42,8,4
한준수,KIA,2023,0.256,48,94,86,9,22,4,0,2,32,12,1,0
최원준,KIA,2023,0.255,67,274,239,37,61,11,2,1,79,23,4,0
