111,허용주,LG,투수,5/6/03,194cm,88kg,사파초-마산동중-용마고
,허준혁,LG,투수,2/7/99,180cm,85kg,가평초(가평군리틀)-영동중-경기고-한일장신대-LG-상무
51,홍창기,LG,외야수,21/11/93,189cm,94kg,대일초-매송중-안산공고-건국대-LG-경찰
99,강건,KT,투수,12/7/04,183cm,85kg,원일초(영통구리틀)-매향중-장안고
5,강민성,KT,내야수,8/12/99,180cm,85kg,대구옥산초-경상중-경북고
50,강백호,KT,내야수,29/7/99,184cm,98kg,부천북초-서울이수중-서울고
55,강현우,KT,포수,13/4/01,180cm,90kg,원종초(부천시리틀)-부천중-유신고
9,고명성,KT,내야수,16/4/99,178cm,68kg,군산남초-군산남중-군산상고
1,고영표,KT,투수,16/9/91,187cm,88kg,광주대성초-광주동성중-화순고-동국대
,권성준,KT,투수,9/3/03,185cm,88kg,대구옥산초-경복중-경북고
49,김건웅,KT,투수,12/4/04,187cm,90kg,서울영화초-성남중-성남고
40,김건형,KT,외야수,12/7/96,182cm,83kg,먼우금초-Lesbois(중)-Timberline(고)-Boise State(대)
11,김민,KT,투수,14/4/99,185cm,88kg,인천숭의초-평촌중-유신고-KT-상무
26,김민수,KT,투수,24/7/92,188cm,80kg,청원초-청원중-청원고-성균관대-KT-상무
53,김민혁,KT,외야수,21/11/95,181cm,71kg,광주서석초-배재중-배재고-KT-상무
97,김병준,KT,외야수,3/7/03,175cm,80kg,창촌초(안산리틀)-안산중앙중-유신고
14,김병희,KT,내야수,6/12/90,180cm,82kg,창영초-신흥중-동산고-동국대
7,김상수,KT,내야수,23/3/90,175cm,68kg,대구옥산초-경복중-경북고-삼성
100,김성훈,KT,투수,25/2/96,181cm,82kg,문화초(고양시리틀)-양천중-경동고-원광대
48,김영현,KT,투수,18/8/02,178cm,81kg,광주화정초-광주동성중-광주동성고
62,김재윤,KT,투수,16/9/90,185cm,91kg,서울도곡초-휘문중-휘문고
29,김정운,KT,투수,21/4/04,184cm,84kg,동천초-경주중-대구고
44,김준태,KT,포수,31/7/94,175cm,91kg,양정초-개성중-경남고-(영남사이버대)-롯데-상무-롯데
20,김태오,KT,투수,29/7/97,183cm,84kg,연현초-양천중-서울고-KT-상무
36,류현인,KT,내야수,8/11/00,174cm,80kg,광주수창초-진흥중-진흥고-단국대
33,문상인,KT,포수,31/1/98,185cm,79kg,김해삼성초-개성중-경남고
,문상준,KT,내야수,14/3/01,183cm,80kg,가동초-휘문중-휘문고
24,문상철,KT,외야수,6/4/91,184cm,85kg,중대초-잠신중-배명고-고려대-KT-상무
6,박경수,KT,내야수,31/3/84,178cm,80kg,미성초-성남중-성남고-LG
98,박민석,KT,내야수,13/4/00,180cm,77kg,성동초-덕수중-장충고
52,박병호,KT,내야수,10/7/86,185cm,107kg,영일초(광명리틀)-영남중-성남고-LG-상무-LG-히어로즈-미네소타-넥센-키움
45,박선우,KT,투수,12/7/97,188cm,91kg,용마초-창원신월중-부산고-롯데
47,박세진,KT,투수,27/6/97,178cm,93kg,본리초-경운중-경북고
46,박시영,KT,투수,10/3/89,180cm,88kg,축현초-인천신흥중-제물포고-(영남사이버대)-롯데
67,박시윤,KT,투수,8/3/99,185cm,90kg,울산대현초-마산제일중-용마고
60,박영현,KT,투수,11/10/03,183cm,91kg,부천북초-부천중-유신고
63,박준혁,KT,외야수,30/8/99,184cm,76kg,동오초(의정부리틀)-청량중-청원고
27,배정대,KT,외야수,12/6/95,185cm,80kg,도신초-성남중-성남고-(디지털문예대)-LG-KT-경찰
19,배제성,KT,투수,29/9/96,189cm,85kg,백마초-성남중-성남고-롯데
35,백선기,KT,투수,27/8/98,186cm,70kg,남도초-경상중-대구상원고
107,백현수,KT,투수,13/6/00,185cm,87kg,남도초-경상중-대구고-경희대
43,벤자민,KT,투수,26/7/93,188cm,95kg,미국 Kansas(대)
106,서경찬,KT,투수,8/3/01,188cm,96kg,효제초-배재중-선린인터넷고
30,소형준,KT,투수,16/9/01,189cm,92kg,호암초(의정부리틀)-구리인창중-유신고
41,손동현,KT,투수,23/1/01,183cm,88kg,염창초(강서구리틀)-덕수중-성남고-KT-상무
57,손민석,KT,내야수,21/6/04,177cm,70kg,감천초-개성중-경남고
12,송민섭,KT,외야수,2/8/91,177cm,80kg,청파초(안산리틀)-선린중-선린인터넷고-단국대-KT-상무
,슐서,KT,투수,5/5/94,188cm,88kg,미국 Dartmouth(대)
61,신범준,KT,투수,1/6/02,189cm,78kg,원일초(수원영통구리틀)-매향중-장안고
15,신병률,KT,투수,30/1/96,175cm,83kg,둔촌초-잠신중-휘문고-단국대
56,신본기,KT,내야수,21/3/89,179cm,88kg,감천초-경남중-경남고-동아대-롯데-경찰-롯데
8,안치영,KT,외야수,29/5/98,176cm,72kg,중동초(원미구리틀)-천안북중-북일고
25,알포드,KT,외야수,20/7/94,185cm,95kg,미국 Mississippi(대)
2,양승혁,KT,내야수,29/9/99,173cm,68kg,태랑초(남양주리틀)-청원중-서울고
18,엄상백,KT,투수,4/10/96,187cm,72kg,역삼초-언북중-덕수고-KT-상무
4,오윤석,KT,내야수,24/2/92,180cm,87kg,화중초-자양중-경기고-연세대-롯데-상무-롯데
65,윤강찬,KT,투수,24/4/98,185cm,72kg,사파초-김해내동중-김해고
109,이동관,KT,내야수,10/8/99,174cm,65kg,천안남산초-천안북중-장안고-원광대
37,이상동,KT,투수,24/11/95,181cm,88kg,대구옥산초-경복중-경북고-영남대
,이상우,KT,투수,14/10/03,190cm,95kg,연현초-수원북중-유신고
16,이상호,KT,내야수,5/2/89,180cm,82kg,대구옥산초-경운중-대구상원고-강릉영동대-NC-상무-NC-LG
68,이선우,KT,투수,19/9/00,186cm,90kg,수진초-매송중-유신고
13,이시원,KT,외야수,24/7/96,178cm,72kg,본리초-경운중-대구상원고-한화
51,이정현,KT,투수,5/12/97,188cm,93kg,무학초-마산동중-용마고
102,이정훈,KT,투수,8/9/00,183cm,80kg,부산수영초(해운대리틀)-센텀중-경남고
66,이종혁,KT,투수,29/5/97,190cm,86kg,대구옥산초-경복중-대구고
105,이준명,KT,투수,18/12/02,193cm,100kg,정목초(강서구리틀)-덕수중-성남고-동의대(얼리 드래프트)
101,이준희,KT,포수,6/1/04,183cm,85kg,중대초-잠신중-휘문고
17,이채호,KT,투수,23/11/98,185cm,85kg,동광초(김해리틀)-원동중-용마고-SK-SSG
34,이호연,KT,내야수,3/6/95,177cm,87kg,광주수창초-진흥중-광주제일고-성균관대-롯데
22,장성우,KT,포수,17/1/90,187cm,100kg,감천초-경남중-경남고-롯데-경찰-롯데
3,장준원,KT,내야수,21/11/95,183cm,77kg,경운초(김해리틀)-개성중-경남고-LG
64,전용주,KT,투수,12/2/00,188cm,87kg,양진초(안성시리틀)-성일중-안산공고
108,정우성,KT,포수,11/4/02,183cm,88kg,김해삼성초-원동중-포항제철고-동원과학대
93,정정우,KT,투수,13/1/04,185cm,83kg,활천초(김해리틀)-내동중-용마고
58,정준영,KT,외야수,26/1/04,173cm,73kg,도신초-강남중-장충고
104,정진호,KT,투수,20/9/04,181cm,79kg,서원초-세광중-청담고
42,조대현,KT,포수,6/8/99,183cm,81kg,길동초-매송중-유신고
39,조병욱,KT,투수,8/6/98,185cm,95kg,동양초(화성시리틀)-매향중-장안고-KT-경찰
23,조용호,KT,외야수,9/9/89,170cm,75kg,성동초-잠신중-야탑고-단국대-SK
54,조이현,KT,투수,27/6/95,185cm,95kg,송정동초-배재중-제주고-한화-SK-상무-SK-SSG
59,조현우,KT,투수,30/3/94,182cm,79kg,군산중앙초-군산중-군산상고-(전남과학대)-KT-롯데
38,주권,KT,투수,31/5/95,181cm,82kg,청주우암초-청주중-청주고
94,지강혁,KT,내야수,14/8/00,181cm,80kg,광주서석초-광주동성중-광주동성고
,최동희,KT,외야수,26/7/03,184cm,80kg,연지초(노원구리틀)-상명중-장충고
69,최성민,KT,외야수,5/7/02,179cm,84kg,송정동초-무등중-광주동성고
110,최정태,KT,외야수,10/9/99,183cm,93kg,성동초-휘문중-휘문고-중앙대
32,쿠에바스,KT,투수,14/10/90,188cm,98kg,베네수엘라 Universidad De Carabobo(대)
28,하준호,KT,투수,29/4/89,174cm,78kg,하단초-대동중-경남고-롯데
96,한민우,KT,투수,27/4/99,177cm,82kg,동일중앙초-경남중-경남고
95,한지용,KT,포수,20/7/01,184cm,90kg,화곡초-영남중-신일고
31,홍현빈,KT,외야수,29/8/97,174cm,70kg,수원신곡초-매송중-유신고-KT-상무
103,황의준,KT,외야수,6/4/02,185cm,95kg,칠성초-경복중-경북고-수성대
10,황재균,KT,내야수,28/7/87,183cm,96kg,사당초-서울이수중-경기고-현대-히어로즈-롯데-샌프란시스코
